,timestamp,user,pid,cpu,mem,vsz,rss,tty,stat,start,time,cmd
1641,kernux     21688  0.3  0.2 298596 43612 pts/0    Sl+  00:04   0:00 docker-compose up --scale redis=1,kernux,2588,0.0,0.4,21209236,65192,?,Sl,mai14,0:00,/usr/share/code/code
1642,kernux     21688  0.3  0.2 298596 43612 pts/0    Sl+  00:04   0:00 docker-compose up --scale redis=1,kernux,21681,0.0,0.0,7560,6536,pts/0,S+,00:04,0:00,docker-compose
1643,kernux     21688  0.3  0.2 298596 43612 pts/0    Sl+  00:04   0:00 docker-compose up --scale redis=1,kernux,21688,0.3,0.2,298596,43612,pts/0,Sl+,00:04,0:00,docker-compose
1644,root       21821  0.0  0.0 1075120 4184 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,root,21830,0.0,0.0,1075376,3504,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1645,root       21821  0.0  0.0 1075120 4184 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,kernux,29885,2.0,0.2,1498976,46432,pts/1,Sl+,00:08,0:00,docker
1646,root       21821  0.0  0.0 1075120 4184 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,root,1267,0.1,0.5,1825032,90680,?,Ssl,mai14,0:03,/usr/bin/dockerd
1647,root       21821  0.0  0.0 1075120 4184 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,kernux,2587,0.0,0.4,21209236,65356,?,Sl,mai14,0:00,/usr/share/code/code
1648,root       21821  0.0  0.0 1075120 4184 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,kernux,2588,0.0,0.4,21209236,65192,?,Sl,mai14,0:00,/usr/share/code/code
1649,root       21821  0.0  0.0 1075120 4184 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,kernux,21681,0.0,0.0,7560,6536,pts/0,S+,00:04,0:00,docker-compose
1650,root       21821  0.0  0.0 1075120 4184 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,kernux,21688,0.3,0.2,298596,43612,pts/0,Sl+,00:04,0:00,docker-compose
1651,root       21821  0.0  0.0 1075120 4184 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,root,21821,0.0,0.0,1075120,4184,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1652,root       21830  0.0  0.0 1075376 3504 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,kernux,29924,2.0,0.2,1498720,46844,pts/1,Sl+,00:08,0:00,docker
1653,root       21830  0.0  0.0 1075376 3504 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,root,1267,0.1,0.5,1825032,90680,?,Ssl,mai14,0:03,/usr/bin/dockerd
1654,root       21830  0.0  0.0 1075376 3504 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,kernux,2587,0.0,0.4,21209236,65356,?,Sl,mai14,0:00,/usr/share/code/code
1655,root       21830  0.0  0.0 1075376 3504 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,kernux,2588,0.0,0.4,21209236,65192,?,Sl,mai14,0:00,/usr/share/code/code
1656,root       21830  0.0  0.0 1075376 3504 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,kernux,21681,0.0,0.0,7560,6536,pts/0,S+,00:04,0:00,docker-compose
1657,root       21830  0.0  0.0 1075376 3504 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,kernux,21688,0.3,0.2,298596,43612,pts/0,Sl+,00:04,0:00,docker-compose
1658,root       21830  0.0  0.0 1075376 3504 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,root,21821,0.0,0.0,1075120,4184,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1659,root       21830  0.0  0.0 1075376 3504 ?        Sl   00:04   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 6379 -container-ip 172.19.0.2 -container-port 6379,root,21830,0.0,0.0,1075376,3504,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1660,kernux     29924  1.0  0.2 1498720 46844 pts/1   Sl+  00:08   0:00 docker stats --no-stream,kernux,29951,3.0,0.2,1498464,46688,pts/1,Sl+,00:08,0:00,docker
1661,kernux     29924  1.0  0.2 1498720 46844 pts/1   Sl+  00:08   0:00 docker stats --no-stream,root,1267,0.1,0.5,1825032,90680,?,Ssl,mai14,0:03,/usr/bin/dockerd
