,timestamp,CONTAINER ID,source,id,CPU (%),MEM USAGE,LIMIT,MEM %,NET IN,NET OUT,BLOCK IN,BLOCK OUT,PIDS
24,00:23:31,7a5d590f0972,docker_redis_1,1,11.43,4.08420352,419.4304,0.97%,15.3,3.32,3.19,0.0,4
25,00:23:32,7a5d590f0972,docker_redis_1,1,11.81,4.112515072,419.4304,0.98%,16.5,3.62,3.19,0.0,4
26,00:23:33,7a5d590f0972,docker_redis_1,1,12.26,4.116709376,419.4304,0.98%,17.9,3.92,3.19,0.0,4
27,00:23:34,7a5d590f0972,docker_redis_1,1,12.33,4.140826624,419.4304,0.99%,19.2,4.25,3.19,0.0,4
28,00:23:35,7a5d590f0972,docker_redis_1,1,12.88,4.239392768,419.4304,1.01%,20.5,4.56,3.19,0.0,4
29,00:23:36,7a5d590f0972,docker_redis_1,1,12.59,4.1209036800000005,419.4304,0.98%,22.0,4.87,3.19,0.0,4
30,00:23:37,7a5d590f0972,docker_redis_1,1,13.18,4.1209036800000005,419.4304,0.98%,23.4,5.2,3.19,0.0,4
31,00:23:38,7a5d590f0972,docker_redis_1,1,13.95,4.1209036800000005,419.4304,0.98%,24.8,5.53,3.19,0.0,4
32,00:23:39,7a5d590f0972,docker_redis_1,1,13.21,4.1209036800000005,419.4304,0.98%,27.8,6.27,3.19,0.0,4
33,00:23:41,7a5d590f0972,docker_redis_1,1,11.41,4.112515072,419.4304,0.98%,29.2,6.64,3.19,0.0,4
34,00:23:42,7a5d590f0972,docker_redis_1,1,13.07,4.129292288,419.4304,0.98%,30.5,6.98,3.19,0.0,4
35,00:23:43,7a5d590f0972,docker_redis_1,1,13.40,4.129292288,419.4304,0.98%,31.9,7.31,3.19,0.0,4
36,00:23:44,7a5d590f0972,docker_redis_1,1,12.14,4.276092928000001,419.4304,1.02%,33.1,7.59,3.19,0.0,4
37,00:23:45,7a5d590f0972,docker_redis_1,1,12.10,4.145020928,419.4304,0.99%,34.4,7.89,3.19,0.0,4
